YearMonth,Rain_mm,Rain_mm_1yr
2010-02-01,6.876017681,6.936469920166668
2010-03-01,16.42077022,7.029762050416668
2010-04-01,1.272508204,7.437855142916668
2010-05-01,1.134944265,7.821939489000002
2010-06-01,0.214684574,8.709008893166668
2010-07-01,3.993633902,10.650911971500001
2010-08-01,1.066499283,11.222444587250003
2010-09-01,2.454231222,12.161171038916669
2010-10-01,10.49392212,12.197024542166668
2010-11-01,9.475399017,12.421094120333334
2010-12-01,39.70781732,13.005989862083334
2011-01-01,34.70051585,12.864514683916669
2011-02-01,13.73440907,13.262766703666669
2011-03-01,27.68548764,13.692683684083335
2011-04-01,1.702750243,13.126726231250002
2011-05-01,3.823779203,12.726777215583335
2011-06-01,7.233433475,9.72205241391667
2011-07-01,2.295931764,7.306907804250002
2011-08-01,5.84552352,7.5232305425833355
2011-09-01,7.613234987,6.696087047583336
2011-10-01,3.702432686,7.707682089833335
2011-11-01,4.676010829,7.475689189333335
2011-12-01,3.6511197,7.224120070083335
2012-01-01,5.718780534,7.123007177250002
2012-02-01,16.33028193,6.776476604083335
2012-03-01,17.7597657,6.4455015141666685
2012-04-01,13.84189075,6.224079738333335
2012-05-01,1.039864397,6.065248392750001
2012-06-01,4.214604044,6.491214469500002
2012-07-01,1.08257705,6.257961757750002
2012-08-01,1.687156642,5.291399117833335
2012-09-01,3.641533908,4.675565284500002
2012-10-01,1.045371376,3.522074388666668
2012-11-01,2.770034682,4.145393039833334
2012-12-01,8.762712621,3.8376148530833345
2013-01-01,2.919747993,4.223981729166668
2013-02-01,4.731530251,4.557138915500001
2013-03-01,10.3697597,4.343255635500001
2013-04-01,0,4.260255247750002
2013-05-01,8.519688211,5.501860210083335
2013-06-01,0.521265803,7.350603669166667
2013-07-01,5.718979563,11.090394530583334
2013-08-01,5.685042878,12.999452200500002
2013-09-01,1.074934548,15.734542278833336
2013-10-01,0.049366723,16.342433063250002
2013-11-01,17.66929423,16.296083722833334
2013-12-01,30.94763413,16.339623034083335
2014-01-01,47.79723833,16.172748766833333
2014-02-01,27.64022229,15.698995193666669
2014-03-01,43.19084064,15.770348522083333
